date,open,high,low,close,volume
"2021-01-25, 08:00:00",0.08600,0.10474,0.08600,0.09280,26620941
"2021-01-26, 08:00:00",0.09280,0.09632,0.08666,0.09341,17331093
"2021-01-27, 08:00:00",0.09344,0.09467,0.07508,0.08150,44615416
"2021-01-28, 08:00:00",0.08152,0.09130,0.07721,0.08884,40098068
"2021-01-29, 08:00:00",0.08891,0.09464,0.08250,0.08871,31262690
"2021-01-30, 08:00:00",0.08870,0.09369,0.08500,0.08854,20079298
"2021-01-31, 08:00:00",0.08848,0.09192,0.08125,0.08333,17184712
"2021-02-01, 08:00:00",0.08341,0.08641,0.07835,0.08330,25088845
"2021-02-02, 08:00:00",0.08324,0.10336,0.08299,0.09731,83645344
"2021-02-03, 08:00:00",0.09736,0.10208,0.09232,0.10029,66924046
"2021-02-04, 08:00:00",0.10026,0.12243,0.09140,0.10077,282195641
"2021-02-05, 08:00:00",0.10061,0.14999,0.09971,0.14502,213524619
"2021-02-06, 08:00:00",0.14500,0.14540,0.11900,0.13088,105662276
"2021-02-07, 08:00:00",0.13102,0.13490,0.11000,0.12727,121834164
"2021-02-08, 08:00:00",0.12757,0.14881,0.12300,0.14277,173472177
"2021-02-09, 08:00:00",0.14242,0.16195,0.13953,0.15392,115563749
"2021-02-10, 08:00:00",0.15384,0.15997,0.13163,0.14743,111536316
"2021-02-11, 08:00:00",0.14713,0.17353,0.14258,0.15959,164913434
"2021-02-12, 08:00:00",0.16024,0.17000,0.15040,0.16412,102607607
"2021-02-13, 08:00:00",0.16420,0.21984,0.16420,0.20749,290565581
"2021-02-14, 08:00:00",0.20794,0.29386,0.19067,0.26700,907352521
"2021-02-15, 08:00:00",0.26700,0.27200,0.19407,0.24092,236201597
"2021-02-16, 08:00:00",0.24110,0.24901,0.21658,0.23149,84492587
"2021-02-17, 08:00:00",0.23161,0.26425,0.20600,0.24275,129143972
"2021-02-18, 08:00:00",0.24271,0.34420,0.23676,0.32824,312470084
"2021-02-19, 08:00:00",0.32822,0.32978,0.27433,0.30613,155213080
"2021-02-20, 08:00:00",0.30691,0.32688,0.27000,0.29656,83438314
"2021-02-21, 08:00:00",0.29655,0.35110,0.28857,0.32220,95036190
"2021-02-22, 08:00:00",0.32220,0.37119,0.21782,0.29508,182227036
"2021-02-23, 08:00:00",0.29513,0.33283,0.17267,0.24034,177164184
"2021-02-24, 08:00:00",0.24047,0.27135,0.21750,0.24781,61778157
"2021-02-25, 08:00:00",0.24748,0.26900,0.23033,0.23265,41058732
"2021-02-26, 08:00:00",0.23264,0.24840,0.22007,0.23627,52879422
"2021-02-27, 08:00:00",0.23667,0.25945,0.23426,0.24495,31202819
"2021-02-28, 08:00:00",0.24498,0.26446,0.19966,0.21965,53737035
"2021-03-01, 08:00:00",0.21966,0.24559,0.21540,0.23976,75012005
"2021-03-02, 08:00:00",0.24000,0.26648,0.22835,0.25134,73580053
"2021-03-03, 08:00:00",0.25119,0.31800,0.24650,0.30770,119332223
"2021-03-04, 08:00:00",0.30772,0.43300,0.29344,0.35910,407132706
"2021-03-05, 08:00:00",0.35961,0.42851,0.33425,0.35076,232804005
"2021-03-06, 08:00:00",0.35102,0.36800,0.31777,0.34350,77235018
"2021-03-07, 08:00:00",0.34399,0.39000,0.33873,0.37984,89856051
"2021-03-08, 08:00:00",0.37984,0.48290,0.37884,0.46101,177928791
"2021-03-09, 08:00:00",0.46097,0.58770,0.46042,0.52563,288624419
"2021-03-10, 08:00:00",0.52567,0.52754,0.45338,0.48157,139717422
"2021-03-11, 08:00:00",0.48160,0.56499,0.47318,0.53016,131052219
"2021-03-12, 08:00:00",0.52945,0.62624,0.51751,0.61360,151843702
"2021-03-13, 08:00:00",0.61288,0.80266,0.55451,0.68628,248145464
"2021-03-14, 08:00:00",0.68627,0.75150,0.65245,0.68171,158891263
"2021-03-15, 08:00:00",0.68164,0.71917,0.60500,0.66867,107675346
"2021-03-16, 08:00:00",0.66774,0.68216,0.56592,0.59269,96241413
"2021-03-17, 08:00:00",0.59281,0.62203,0.50500,0.59916,151699150
"2021-03-18, 08:00:00",0.59910,0.67308,0.56880,0.61577,163144614
"2021-03-19, 08:00:00",0.61618,0.62612,0.58296,0.60530,56069723
"2021-03-20, 08:00:00",0.60461,0.60530,0.53683,0.53827,57324621
"2021-03-21, 08:00:00",0.53879,0.59122,0.52916,0.56421,83824805
"2021-03-22, 08:00:00",0.56467,0.61543,0.51827,0.55438,123572639
"2021-03-23, 08:00:00",0.55437,0.59095,0.51179,0.56782,102607680
"2021-03-24, 08:00:00",0.56721,0.66100,0.54155,0.57207,176796298
"2021-03-25, 08:00:00",0.57189,0.60385,0.53880,0.58420,105444460
"2021-03-26, 08:00:00",0.58422,0.62206,0.56967,0.62020,64578378
"2021-03-27, 08:00:00",0.62046,0.73671,0.60556,0.71520,141521987
"2021-03-28, 08:00:00",0.71520,0.90553,0.68017,0.81176,250340389
"2021-03-29, 08:00:00",0.81253,0.87338,0.76200,0.79120,115078113
"2021-03-30, 08:00:00",0.79172,0.85865,0.77515,0.83036,99602905
